Flight No.,Date andtime (UTC),"Version,Booster[a]",Launch site,Payload[b],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,Launchsite,"Version,booster[a]","Version,booster[c]",Payload[d],Description
1,4 June 201018:45,F9 v1.0B0003,"CCSFS,SLC-40",Dragon Spacecraft Qualification Unit,No payload (excl. Dragon Mass),LEO,SpaceX,Success,Failure(parachute),,,,,"First flight of Falcon 9 v1.0.Used a boilerplate version of Dragon capsule which was not designed to separate from the second stage.(more details)Attempted to recover the first stage by parachuting it into the ocean, but it burned up on reentry, before the parachutes even got to deploy."
2,8 December 201015:43,F9 v1.0B0004,"CCSFS,SLC-40",SpaceX COTS Demo Flight 1(Dragon C101),Unknown (excl. Dragon Mass),LEO(ISS),NASA(COTS)various others,Success,Failure(parachute),,,,,"Maiden flight of SpaceX'sDragon capsule, consisting of over 3 hours of testing thruster maneuvering and then reentry.Attempted to recover the first stage by parachuting it into the ocean, but it disintegrated upon reentry, again before the parachutes were deployed.(more details)It also included eightCubeSats,and a wheel ofBrouèrecheese. Before the launch, SpaceX discovered that there was a crack in the nozzle of the 2nd stage's Merlin vacuum engine. SpaceX cut off the end of the nozzle and got NASA's approval to fly in this configuration."
3,22 May 201207:44,F9 v1.0B0005,"CCSFS,SLC-40",SpaceX COTS Demo Flight 2(Dragon C102),"525 kg (1,157 lb)(excl. Dragon mass)",LEO(ISS),NASA(COTS),Success,No attempt,,,,,"The Dragon spacecraft demonstrated a series of tests before it was allowed to approach theInternational Space Station. Two days later, it became the first commercial spacecraft to board the ISS.(more details)"
4,8 October 201200:35,F9 v1.0B0006,"CCSFS,SLC-40",SpaceX CRS-1(Dragon C103),"4,700 kg (10,400 lb) (excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,No attempt,,,,,Orbcomm-OG2
5,1 March 201315:10,F9 v1.0B0007,"CCSFS,SLC-40",SpaceX CRS-2(Dragon C104),"4,877 kg (10,752 lb) (excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,No attempt,,,,,"Last launch of the original Falcon 9 v1.0launch vehicle, first use of the unpressurized trunk section of Dragon."
6,29 September 201316:00,F9 v1.1B1003,"VSFB,SLC-4E",CASSIOPE,"500 kg (1,100 lb)",Polar orbitLEO,MDA,Success,Uncontrolled(ocean)[c],,,,,"First commercial mission with a private customer, first launch from Vandenberg, and demonstration flight of Falcon 9 v1.1 with an improved 13-tonne to LEO capacity.After separation from the second stage carrying Canadian commercial and scientific satellites, the first stage booster performed a controlled reentry,and anocean touchdown testfor the first time. This provided good test data, even though the booster started rolling as it neared the ocean, leading to the shutdown of the central engine as the roll depleted it of fuel, resulting in a hard impact with the ocean.This was the first known attempt of a rocket engine being lit to perform a supersonic retro propulsion, and allowed SpaceX to enter a public-private partnership withNASAand its Mars entry, descent, and landing technologies research projects.(more details)This was also the first orbital launch using SpaceX's upgradedMerlin 1Drocket engine."
7,3 December 201322:41,F9 v1.1B1004,"CCSFS,SLC-40",SES-8,"3,170 kg (6,990 lb)",GTO,SES,Success,No attempt,,,,,"Firstgeostationary transfer orbit(GTO) launch for Falcon 9,and first successful reignition of the second stage.SES-8 was inserted into asupersynchronous transfer orbitof 79,341 km (49,300 mi) in apogee with aninclinationof 20.55° to theequator."
8,6 January 201422:06,F9 v1.1,"CCSFS,SLC-40",Thaicom 6,"3,325 kg (7,330 lb)",GTO,Thaicom,Success,No attempt,,,,,"The Thai communication satellite was the secondGTOlaunch for Falcon 9. TheUSAFevaluated launch data from this flight as part of a separate certification program for SpaceX to qualify to fly military payloads, but found that the launch had ""unacceptable fuel reserves at engine cutoff of the stage 2 second burnoff"".Thaicom-6 was inserted into asupersynchronous transfer orbitof 90,039 km (55,948 mi) inapogeewith aninclinationof 22.46° to theequator."
9,18 April 201419:25,F9 v1.1,"CCSFS,SLC-40",SpaceX CRS-3(Dragon C105),"2,296 kg (5,062 lb)(excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Controlled(ocean)[c],,,,,"Following second-stage separation, SpaceX conducted a secondcontrolled-descent testof the discarded booster vehicle and achieved the first successful controlled ocean touchdown of a liquid-rocket-engine orbital booster.Following the soft touchdown, the first stage tipped over as expected and was destroyed. This was the first Falcon 9 booster to fly with extensible landing legs and the first Dragon mission with theFalcon 9 v1.1launch vehicle. This flight also launched theELaNa 5mission forNASAas a secondary payload."
10,14 July 201415:15,F9 v1.1,"CCSFS,SLC-40",Orbcomm-OG2-1(6 satellites),"1,316 kg (2,901 lb)",LEO,Orbcomm,Success,Controlled(ocean)[c],,,,,"Payload included six satellites weighing 172 kg (379 lb) each and two 142 kg (313 lb) mass simulators.Equipped for the second time withlanding legs, the first-stage booster successfully conducted acontrolled-descenttest consisting of a burn for deceleration fromhypersonicvelocity in the upper atmosphere, areentryburn, and a final landing burn before soft-landing on the ocean surface."
